,undp_hdi,ccodealp,cname,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,region_recod
76,0.61500001,IND,India,8,4256.79,,43.79999923706055,3.0699999,12.4,4.685088157653809,SouthAsia
174,0.77899998,TTO,Trinidad and Tobago,10,22089.16,1.353999972343445,18.39999961853027,6.940000099999999,,5.933197021484375,Caribbean
51,0.73900002,ECU,Ecuador,2,7259.52,15.774999618530268,19.10000038146973,3.8199998999999996,9.0,9.161087989807127,LatAm
186,0.91799998,USA,United States,5,47769.699,318.7890014648438,6.0,8.819999699999999,18.1,17.140754699707028,WesternDem
95,0.495,LSO,Lesotho,4,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432,SubSaharian
127,0.94800001,NOR,Norway,5,57634.77,5.156000137329102,2.200000047683716,6.0599999,24.1,9.719717979431152,WesternDem
96,0.82800001,LVA,Latvia,1,16583.67,2.000999927520752,7.5999999046325675,10.37,35.900002,5.880693435668945,EastEurope
71,0.63800001,GUY,Guyana,10,2042.8199,0.7559999823570251,29.0,7.639999900000001,,5.247803688049316,Caribbean
70,0.414,GIN,Guinea,4,993.8300199999999,11.74499988555908,65.19999694824219,0.22,,5.644797801971436,SubSaharian
142,0.79799998,ROU,Romania,1,14563.14,19.95299911499023,10.69999980926514,9.590000199999999,30.5,5.565009117126465,EastEurope
91,0.79900002,KWT,Kuwait,3,64342.710999999996,3.999000072479248,9.5,0.02,,3.042368412017822,NorthAfrica
166,0.54100001,SWZ,Swaziland,4,4110.0498,1.105999946594238,55.70000076293945,5.1999998,10.2,9.25193977355957,SubSaharian
92,0.662,KGZ,Kyrgyzstan,1,3010.24,5.894999980926514,23.60000038146973,3.28,26.4,6.483762264251709,EastEurope
182,0.74599999,MKD,Macedonia,1,9610.5996,2.069000005722046,6.5,1.13,,6.476374626159668,EastEurope
164,0.48800001,SDN,Sudan (2012-),4,,,,,,8.4287748336792,SubSaharian
94,0.76300001,LBN,Lebanon,3,14711.97,4.382999897003174,8.0,1.3200001000000001,37.0,6.3937087059021,NorthAfrica
147,0.72000003,VCT,St Vincent and the Grenadines,10,7454.8799,0.1099999994039536,,7.0100002,,8.630239486694336,Caribbean
